expr,time
par_rams(),44832457600
unpar_tmzml(),239064556201
unpar_tmzml(),243087502401
par_tmzml(),88166344201
unpar_tmzml(),234282425201
par_tmzml(),86804616102
par_tmzml(),89383668100
par_rams(),42890544600
par_tmzml(),90044178801
par_rams(),41272722901
unpar_rams(),50644532101
par_tmzml(),87296738401
unpar_rams(),49811416702
unpar_rams(),50719871400
unpar_rams(),49035776901
unpar_tmzml(),233820402501
unpar_rams(),52329807401
par_rams(),41942262401
par_rams(),43823492201
unpar_tmzml(),232179696201
